code_store;po_no;barcode;qty;modal_karton
358970;2521-PO-PM1-05-18;9300830020201;36;26707
358970;2521-PO-PM1-05-18;8999999049386;72;6175
358970;2521-PO-PM1-05-18;8999999049348;72;6667
358970;2521-PO-PM1-05-18;8999999049355;72;6175
358970;2521-PO-PM1-05-18;8999999049362;120;6175
358970;2521-PO-PM1-05-18;8999999049379;120;6175
358970;2521-PO-PM1-05-18;8999999049393;48;12127
358970;2521-PO-PM1-05-18;8999999049430;48;12127
358970;2521-PO-PM1-05-18;8999999049409;72;12127
358970;2521-PO-PM1-05-18;8999999049669;72;12127
